,Date of 8-day Window,"Centroid of Selection (Lat,Lon)",Number of Pixels,Average AOD,5% Percentile AOD,50% Percentile (Median) AOD,95% Percentile AOD,Percent of Pixels with no Data
0,2011-06-10,"26.63, 86.73",100,0.71399826,0.477952766418457,0.7244094610214233,0.8685039401054382,55.0
0,2011-06-18,"26.63, 86.73",100,0.77952754,0.7795275449752808,0.7795275449752808,0.7795275449752808,99.0
0,2011-06-26,"26.63, 86.73",100,,,,,100.0
0,2011-07-04,"26.63, 86.73",100,,,,,100.0
0,2011-07-12,"26.63, 86.73",100,,,,,100.0
0,2011-07-20,"26.63, 86.73",100,,,,,100.0
0,2011-07-28,"26.63, 86.73",100,,,,,100.0
0,2011-08-05,"26.63, 86.73",100,,,,,100.0
0,2011-08-05,"26.63, 86.73",100,,,,,100.0
0,2011-08-13,"26.63, 86.73",100,,,,,100.0
0,2011-08-21,"26.63, 86.73",100,0.31889763,0.31889763474464417,0.31889763474464417,0.31889763474464417,99.0
0,2011-08-29,"26.63, 86.73",100,0.42125985,0.4106299340724945,0.4212598502635956,0.4318897664546967,98.0
0,2011-09-06,"26.63, 86.73",100,0.22795276,0.18287401795387268,0.2263779565691948,0.272047233581543,90.0
0,2011-09-14,"26.63, 86.73",100,,,,,100.0
0,2011-09-22,"26.63, 86.73",100,0.44947505,0.2696850374341011,0.4724409431219101,0.6230314821004868,94.0
0,2011-09-30,"26.63, 86.73",100,0.29568148,0.07480314970016481,0.24015748500823975,0.674015724658966,3.0
0,2011-09-30,"26.63, 86.73",100,0.29568148,0.07480314970016481,0.24015748500823975,0.674015724658966,3.0
0,2011-10-08,"26.63, 86.73",100,0.3815354,0.13759841918945312,0.3248031437397003,0.6614173054695129,0.0
0,2011-10-16,"26.63, 86.73",100,0.4892913,0.1374015688896179,0.5177165269851685,0.9883858323097229,0.0
0,2011-10-24,"26.63, 86.73",100,0.6544045,0.2687007784843445,0.7322834730148315,0.9753937125205994,4.0
0,2011-11-01,"26.63, 86.73",100,0.6501181,0.05511811003088951,0.8641732335090637,1.0,0.0
0,2011-11-09,"26.63, 86.73",100,0.5596979,0.0781496062874794,0.5905511975288391,1.0,2.0
0,2011-11-17,"26.63, 86.73",100,0.32318896,0.09448818862438202,0.3602362275123596,0.5710630178451538,0.0
0,2011-11-25,"26.63, 86.73",100,0.26535434,0.09015748165547847,0.26377952098846436,0.5236220359802246,0.0
0,2011-11-25,"26.63, 86.73",100,0.26535434,0.09015748165547847,0.26377952098846436,0.5236220359802246,0.0
0,2011-12-03,"26.63, 86.73",100,0.4773194,0.19291338324546814,0.4212598502635956,0.9562992334365845,8.0
0,2011-12-11,"26.63, 86.73",100,0.5732853,0.24055118560791017,0.5787401795387268,1.0,17.0
0,2011-12-19,"26.63, 86.73",100,0.16957842,0.07874015718698502,0.14566929638385773,0.33070865273475647,4.0
0,2011-12-27,"26.63, 86.73",100,0.12959656,0.06299212574958801,0.12598425149917603,0.2141732305288314,3.0
0,2012-01-01,"26.63, 86.73",100,0.8582677,0.8440945029258728,0.8582677245140076,0.8724409461021423,98.0
0,2012-01-09,"26.63, 86.73",100,0.4503764,0.13385826349258423,0.4645669162273407,0.9251968562602997,9.0
0,2012-01-17,"26.63, 86.73",100,0.79715854,0.2527559041976929,1.0,1.0,8.0
0,2012-01-25,"26.63, 86.73",100,0.5537915,0.2383858323097229,0.5511810779571533,0.8718503952026367,8.0
0,2012-02-02,"26.63, 86.73",100,0.5549574,0.11968504078686239,0.6594488024711609,1.0,2.0
0,2012-02-10,"26.63, 86.73",100,0.5852756,0.21220472753047942,0.6417322754859924,0.9812992215156554,0.0
